/usr/local/lib/python3.10/dist-packages/lerobot/policies/vqbet/vqbet_utils.py:1373: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @autocast(enabled=False)
Loading VQ-BeT from lerobot/vqbet_pusht (manual config patch)...
number of parameters: 26.00M
  Loaded: 37,515,530 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity check action: [0.04 0.81]
  Action range: [0.0, 0.8]
  Actions appear NORMALIZED [-1,1]
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 129: OK | cov=0.958 | steps= 86 | viol=  0 | 0.3s
  Ep 130: -- | cov=0.940 | steps=300 | viol=  0 | 1.2s
  Ep 131: OK | cov=0.957 | steps=125 | viol=  0 | 0.5s
  Ep 132: -- | cov=0.061 | steps=300 | viol=  0 | 1.2s
  Ep 133: OK | cov=0.953 | steps=164 | viol=  0 | 0.7s
  Ep 134: OK | cov=0.958 | steps=183 | viol=  0 | 0.7s
  Ep 135: OK | cov=0.952 | steps=213 | viol=  0 | 0.9s
  Ep 136: OK | cov=0.950 | steps=180 | viol=  0 | 0.7s
  Ep 137: OK | cov=0.951 | steps=196 | viol=  0 | 0.8s
  Ep 138: -- | cov=0.000 | steps=300 | viol=  0 | 1.2s
  Ep 139: OK | cov=0.958 | steps=179 | viol=  0 | 0.7s
  Ep 140: OK | cov=0.975 | steps=143 | viol=  0 | 0.6s
  Ep 141: OK | cov=0.951 | steps=185 | viol=  0 | 0.7s
  Ep 142: -- | cov=0.404 | steps=300 | viol=  0 | 1.2s
  Ep 143: OK | cov=0.958 | steps=112 | viol=  0 | 0.5s
  Ep 144: OK | cov=0.973 | steps=114 | viol=  0 | 0.5s
  Ep 145: OK | cov=0.957 | steps=220 | viol=  0 | 0.9s
  Ep 146: OK | cov=0.956 | steps=229 | viol=  0 | 0.9s
  Ep 147: OK | cov=0.960 | steps=126 | viol=  0 | 0.5s
  Ep 148: OK | cov=0.970 | steps=149 | viol=  0 | 0.6s
  Ep 149: -- | cov=0.660 | steps=300 | viol=  0 | 1.2s
  Ep 150: -- | cov=0.000 | steps=300 | viol=  0 | 1.2s
  Ep 151: OK | cov=0.951 | steps=111 | viol=  0 | 0.4s
  Ep 152: -- | cov=0.136 | steps=300 | viol=  0 | 1.2s
  Ep 153: OK | cov=0.972 | steps=253 | viol=  0 | 1.0s
  Ep 154: -- | cov=0.549 | steps=300 | viol=  0 | 1.2s
  Ep 155: OK | cov=0.961 | steps=202 | viol=  0 | 0.8s
  Ep 156: OK | cov=0.959 | steps=197 | viol=  0 | 0.8s
  Ep 157: -- | cov=0.912 | steps=300 | viol=  0 | 1.2s
  Ep 158: OK | cov=0.955 | steps=132 | viol=  0 | 0.5s
  Ep 159: -- | cov=0.000 | steps=300 | viol=  0 | 1.2s
  Ep 160: -- | cov=0.672 | steps=300 | viol=  0 | 1.2s
  Ep 161: -- | cov=0.572 | steps=300 | viol=  0 | 1.2s
  Ep 162: OK | cov=0.951 | steps=217 | viol=  0 | 0.9s
  Ep 163: OK | cov=0.958 | steps=102 | viol=  0 | 0.4s
  Ep 164: OK | cov=0.950 | steps=195 | viol=  0 | 0.8s
  Ep 165: -- | cov=0.000 | steps=300 | viol=  0 | 1.1s
  Ep 166: OK | cov=0.963 | steps=126 | viol=  0 | 0.5s
  Ep 167: OK | cov=0.960 | steps=144 | viol=  0 | 0.6s
  Ep 168: -- | cov=0.662 | steps=300 | viol=  0 | 1.4s
  Ep 169: OK | cov=0.956 | steps=187 | viol=  0 | 0.8s
  Ep 170: OK | cov=0.956 | steps=236 | viol=  0 | 0.9s
  Ep 171: OK | cov=0.957 | steps=119 | viol=  0 | 0.5s
  Ep 172: -- | cov=0.200 | steps=300 | viol=  0 | 1.3s
  Ep 173: OK | cov=0.955 | steps=237 | viol=  0 | 0.9s
  Ep 174: OK | cov=0.967 | steps=101 | viol=  0 | 0.4s
  Ep 175: OK | cov=0.960 | steps=154 | viol=  0 | 0.6s
  Ep 176: OK | cov=0.952 | steps=279 | viol=  0 | 1.1s
  Ep 177: -- | cov=0.651 | steps=300 | viol=  0 | 1.2s
  Ep 178: OK | cov=0.964 | steps=166 | viol=  0 | 0.7s
